EN	VI
banh mi, pho, iced coffee and hoi an cao lau noodles have earned high marks from international travel magazines in 2022, reaffirming vietnam’s growing reputation as a global culinary attraction.	Bánh mì, phở, cà phê đá và cao lầu Hội An đã giành được điểm cao từ các tạp chí du lịch quốc tế vào năm 2022, tái khẳng định danh tiếng ngày càng tăng của Việt Nam như một điểm thu hút ẩm thực toàn cầu.
in january, cnn included pho bo (vietnamese beef noodle soup) in its list of the 20 best soups in the world, along with china’s lanzhou noodle soup, and thailand’s tom yum goong.	Vào tháng 1, CNN đã đưa phở bò vào danh sách 20 món canh ngon nhất thế giới, cùng với phở Lan Châu của Trung Quốc và tom yum goong của Thái Lan.
till now, pho bo remains the most beloved version of the dish in vietnam and has become the most popular breakfast in the country, with options that include the original raw beef, a mix of raw and cooked beef, brisket and tendon.	Cho đến nay, phở bò vẫn là phiên bản được yêu thích nhất ở Việt Nam và đã trở thành bữa sáng phổ biến nhất trên cả nước, với các lựa chọn bao gồm thịt bò tái nguyên bản, hỗn hợp thịt bò tái và chín, ức và gân.
a bowl of pho bo in ho chi minh city and hanoi cost between vnd30,000 to 80,000 ($1.32-3.40).	Một tô phở bò ở Thành phố Hồ Chí Minh và Hà Nội có giá từ 30.000 đến 80.000 đồng ($1,32-3,40).
in may, cnn included vietnam’s popular banh mi in a list of the world’s 23 best sandwiches, saying "it is widely loved well beyond the country’s borders."	Vào tháng 5, CNN đã đưa món bánh mì nổi tiếng của Việt Nam vào danh sách 23 món bánh mì kẹp ngon nhất thế giới, nói rằng "nó được yêu thích ngay cả ở ngoài biên giới Việt Nam."
considered the most popular street food in vietnam, banh mi is also known as a vietnamese sandwich that is a fusion of cold cuts and vegetables, such as coriander, cucumber, pickled carrots and daikon, and pate, combined with french condiments such as mayonnaise.	Được coi là món ăn đường phố phổ biến nhất ở Việt Nam, bánh mì, còn được gọi là sandwich Việt Nam, là sự kết hợp giữa những lát thịt nguội và các loại rau như rau mùi, dưa chuột, cà rốt muối và củ cải trắng, pate, kết hợp với các loại gia vị kiểu Pháp như sốt mayonnaise.
a banh mi also often includes toppings such as cha lua (vietnamese pork bologna), a fried egg, grilled pork, and meat balls.	Một chiếc bánh mì cũng thường bao gồm các loại nhân ăn kèm như chả lụa, trứng rán, thịt lợn nướng và thịt viên.
a loaf with all the trimmings costs from vnd15,000 to vnd50,000.	Một ổ bánh mì với đầy đủ các lát cắt đó có giá từ 15.000 đến 50.000 đồng.
american tourist rita joe graybill described vietnam’s banh mi as the best dish in vietnam and certainly worth a try.	Du khách người Mỹ Rita Joe Graybill mô tả bánh mì Việt Nam là món ăn ngon nhất ở Việt Nam và rất đáng thử.
also in may, cnn named banh cam, vietnamese deep-fried glutinous rice ball, as one of 30 best fried foods in the world.	Cũng trong tháng 5, CNN đã vinh danh bánh cam, gạo nếp viên chiên giòn của Việt Nam, là một trong 30 món chiên ngon nhất thế giới.
banh cam is made with tender glutinous rice flour filled with mung bean paste. the balls are then rolled in sesame seeds and fried. it is a highly favored dessert in the south.	Bánh cam được làm bằng bột gạo nếp mềm với nhân bột đậu xanh. Các viên này sau đó được cuộn trong hạt vừng và chiên lên. Nó là một món tráng miệng rất được ưa chuộng ở miền nam.
a northern parallel to this dish is the banh ran, but this variation has a sugary syrup poured over it.	Có một món ăn tương tự ở phía bắc với món ăn này gọi là bánh rán, nhưng biến thể này được tưới thêm một loại xi-rô đường.
in may, canadian travel magazine the travel listed vietnam among 10 countries with a unique coffee culture, with ca phe sua da (iced coffee with condensed milk) as the best option.	Vào tháng 5, tạp chí du lịch Canada, The Travel, đã liệt kê Việt Nam trong số 10 quốc gia có văn hóa cà phê độc đáo, với cà phê sữa đá (cà phê đá với sữa đặc) là lựa chọn tốt nhất.
ca phe sua da is made using ground dark roast vietnamese coffee topped off with ice and condensed milk. this thirst quencher can be found on most sidewalk coffee stalls.	Cà phê sữa đá được làm bằng cách sử dụng cà phê nghiền rang đậm của Việt Nam với đá và sữa đặc. Món giải khát này có thể được tìm thấy ở hầu hết các quán cà phê vỉa hè.
a cup costs vnd10,000-15,000.	Một cốc có giá 10.000-15.000 đồng.
"vietnamese coffee is the best. love, love, love it," australian libby watkins said. she said that she visited two vietnamese restaurants back home, but although both were run by vietnamese, "they certainly haven’t got the coffee right."	"Cà phê Việt Nam là ngon nhất. Rất, rất yêu nó", Libby Watkins người Úc nói. Cô nói rằng cô ấy đã đến thăm hai nhà hàng Việt Nam ở quê nhà, và mặc dù cả hai đều do người Việt Nam điều hành, nhưng "chắc chắn là họ pha cà phê không đúng cách".
in june, hong kong’s south china morning post introduced cha ruoi (ragworm omelet) as "a vietnamese delicacy not for the squeamish."	Vào tháng 6, tờ South China Morning Post của Hồng Kông đã giới thiệu chả rươi (trứng tráng rươi) là "món ngon Việt Nam không dành cho người khó tính".
the seasonal dish is made with eggs and ragworms, or palolo worms, a kind of seaworm typically harvested between late autumn and early winter in northern localities of vietnam.	Món ăn theo mùa này được chế biến từ trứng và con rươi, hay còn gọi là giun palolo, một loại giun biển thường được thu hoạch vào khoảng cuối thu và đầu đông ở các tỉnh phía Bắc Việt Nam.
the worms are normally found in brackish water in the northern coastal provinces of hai duong and quang ninh, as well as in hai phong city.	Loại giun này thường được thấy ở vùng nước lợ ở các tỉnh ven biển phía bắc như Hải Dương và Quảng Ninh, cũng như ở thành phố Hải Phòng.
the ragworms are put in hot water to remove their tentacles and then mixed with minced pork, tangerine peel, herbs and eggs.	Những con giun được cho vào nước nóng để loại bỏ xúc tu rồi trộn với thịt lợn bằm, vỏ quýt, rau thơm và trứng.
this is then fried to a crisp.	Món này sau đó được chiên giòn.
ragworm omelet is a popular snack in hanoi during the chilly days of late autumn and early winter.	Trứng chiên rươi là món ăn vặt phổ biến ở Hà Nội trong những ngày se lạnh cuối thu đầu đông.
in august, scmp also featured cao lau (roasted pork with thick vietnamese noodles), a traditional dish in the ancient town hoi an.	Vào tháng 8, SCMP cũng giới thiệu cao lầu (thịt heo quay với phở Việt Nam), một món ăn truyền thống ở phố cổ Hội An.
